x; y
1; 2
1.01; 2.001046723854338
1.02; 2.0020988202115637
1.03; 2.003161661574666
1.04; 2.004240620446581
1.05; 2.005341069330247
1.06; 2.006468380728601
1.07; 2.0076279271445827
1.08; 2.0088250810811266
1.09; 2.0100652150411733
1.1; 2.0113537015276592
1.11; 2.0126959130435234
1.12; 2.014097222091701
1.13; 2.015563001175132
1.1400000000000001; 2.0170986227967536
1.15; 2.0187094594595028
1.16; 2.0204008836663174
1.17; 2.022178267920136
1.18; 2.024046984723896
1.19; 2.026012406580535
1.2; 2.02807990599299
1.21; 2.0302548554642006
1.22; 2.0325426274971026
1.23; 2.034948594594635
1.24; 2.037478129259734
1.25; 2.0401366039953395
1.26; 2.042929391304386
1.27; 2.0458618636898156
1.28; 2.0489393936545626
1.29; 2.0521673537015652
1.3; 2.055551116333762
1.31; 2.059096054054091
1.32; 2.0628075393654894
1.33; 2.0666909447708948
1.34; 2.070751642773244
1.35; 2.074995005875476
1.3599999999999999; 2.079426406580529
1.37; 2.0840512173913393
1.38; 2.0888748108108453
1.3900000000000001; 2.0939025593419847
1.4; 2.099139835487695
1.4100000000000001; 2.1045920117509147
1.42; 2.11026446063458
1.43; 2.116162554641631
1.44; 2.1222916662750024
1.45; 2.1286571680376345
1.46; 2.1352644324324648
1.47; 2.142118831962429
1.48; 2.1492257391304657
1.49; 2.1565905264395133
1.5; 2.1642185663925093
1.51; 2.1721152314923926
1.52; 2.1802858942420977
1.53; 2.1887359271445654
1.54; 2.197470702702733
1.55; 2.206495593419535
1.56; 2.2158159717979125
1.57; 2.225437210340804
1.58; 2.2353646815511437
1.5899999999999999; 2.2456037579318733
1.6; 2.256159811985926
1.6099999999999999; 2.2670382162162435
1.62; 2.2782443431257597
1.63; 2.2897835652174168
1.6400000000000001; 2.30166125499415
1.65; 2.3138827849588988
1.6600000000000001; 2.3264535276145977
1.67; 2.3393788554641834
1.6800000000000002; 2.3526641410106
1.69; 2.366314756756782
1.7000000000000002; 2.380336075205664
1.71; 2.394733468860189
1.72; 2.4095123102232905
1.73; 2.4246779717979083
1.74; 2.440235826086979
1.75; 2.4561912455934416
1.76; 2.472549602820234
1.77; 2.4893162702702925
1.78; 2.506496620446556
1.79; 2.524096025851961
1.8; 2.5421198589894467
1.81; 2.5605734923619496
1.82; 2.5794622984724076
1.83; 2.5987916498237573
1.8399999999999999; 2.618566918918941
1.85; 2.6387934782608915
1.8599999999999999; 2.659476700352547
1.87; 2.680621957696848
1.88; 2.70223462279673
1.8900000000000001; 2.7243200681551323
1.9; 2.7468836662749907
1.9100000000000001; 2.7699307896592447
1.92; 2.7934668108108283
1.9300000000000002; 2.8174971022326862
1.94; 2.842027036427751
1.9500000000000002; 2.8670619858989626
1.96; 2.892607323149256
1.97; 2.9186684206815694
1.98; 2.9452506509988434
1.99; 2.972359386604014
2; 3
2.01; 3.0281734911867773
2.02; 3.0568633701526835
2.03; 3.0860487743830163
2.04; 3.1157088413630305
2.05; 3.1458227085780806
2.06; 3.1763695135134498
2.07; 3.207328393654464
2.08; 3.2386784864864495
2.09; 3.270398929494661
2.1; 3.3024688601644385
2.11; 3.334867415981151
2.12; 3.3675737344300245
2.13; 3.4005669529963996
2.14; 3.4338262091656304
2.15; 3.467330640422986
2.16; 3.5010593842537503
2.17; 3.5349915781433054
2.18; 3.569106359576921
2.19; 3.603382866039894
2.2; 3.637800235017565
2.21; 3.6723376039952456
2.22; 3.7069741104582334
2.23; 3.7416888918918403
2.24; 3.776461085781378
2.25; 3.811269829612158
2.26; 3.846094260869492
2.27; 3.880913517038721
2.2800000000000002; 3.915706735605113
2.29; 3.950453054054009
2.3; 3.9851316098706633
2.31; 4.019721540540473
2.32; 4.054201983548708
2.33; 4.0885520763806795
2.34; 4.122750956521671
2.35; 4.15677776145705
2.36; 4.190611628672087
2.37; 4.224231695652094
2.38; 4.257617099882438
2.39; 4.290746978848347
2.4; 4.323600470035188
2.41; 4.356156710928275
2.42; 4.388394839012889
2.43; 4.420293991774315
2.44; 4.451833306697949
2.45; 4.482991921269047
2.46; 4.51374897297292
2.47; 4.544083599294879
2.48; 4.57397493772028
2.49; 4.603402125734391
2.5; 4.632344300822524
2.51; 4.660780600469977
2.52; 4.688690162162118
2.5300000000000002; 4.716052123384188
2.54; 4.742845621621569
2.55; 4.769049794359532
2.56; 4.794643779083373
2.5700000000000003; 4.819606713278461
2.58; 4.843917734430022
2.59; 4.86755598002344
2.6; 4.890500587544011
2.61; 4.912730694477034
2.62; 4.93422543830782
2.63; 4.954963956521695
2.64; 4.9749253866039425
2.65; 4.994088866039917
2.66; 5.012433532314887
2.67; 5.029938522914179
2.68; 5.046582975323119
2.69; 5.062346027026976
2.7; 5.0772068155111185
2.71; 5.0911444782608015
2.7199999999999998; 5.104138152761408
2.73; 5.1161669764982065
2.74; 5.127210086956481
2.75; 5.1372466216216
2.76; 5.1462557179788035
2.77; 5.154216513513489
